mark,id,Urea,Sulfur,Vit D,P,Total,BW,BCS,MoPreg,Lact,Adj-BW,oct_BW,oct_BCS,oct_MoPreg,oct_Lact,oct_Adj-BW,lwc,wow_bw_Aug,wow_bw_Nov,trt
1,62934,192526,5806,16,419,198767,463,2,0,W,463,434,2,7,D,411,-52,454,453,4
2,17840,186027,14476,8,4222,204733,474,2,7,W,451,367,1,0,W,367,-84,424,411,4
3,47925,121081,1717,19,13485,136302,469,2.5,2,D,467,353,3,7,D,330,-137,511,566,4
4,72935,105797,26,10,227,106060,451,1.5,0,W,451,423,2,0,D,423,-28,529,506,4
5,51924,90923,751,27,11017,102718,558,3,6,D,543,546,3,8,D,511,-32,624,568,4
6,91032,87909,3134,11,3202,94256,465,2,0,W,465,460,2,3,D,456,-9,468,486,4
7,50847,83884,806,17,1295,86002,500,2.5,0,W,500,372,1,0,W,372,-128,437,450,4
8,48566,82829,852,198,3287,87166,318,1.5,0,W,318,311,1,0,D,311,-7,389,411,4
9,26974,80484,11690,1,4563,96738,512,3.5,0,W,512,386,1,0,W,386,-126,548,519,4
10,48502,79480,161,105,2711,82457,334,2,0,W,334,479,2,3,D,475,141,493,459,4
11,5437,78280,403,9,540,79232,375,2,0,W,375,419,3,4,D,413,38,376,394,4
12,48518,77886,2735,6,6829,87456,387,1.5,0,W,387,264,2,1,D,263,-124,NA,NA,4
13,12793,75935,2833,18,2238,81024,375,2,0,W,375,365,2,3,D,361,-14,NA,NA,4
14,17529,69231,330,30,3348,72939,386,2,0,W,386,364,2,4,D,358,-28,395,401,4
15,50042,65464,2966,336,2690,71456,476,2,3.5,D,471,464,3,8,D,429,-42,NA,NA,4
16,69878,62915,978,1,185,64079,648,3.5,6,D,633,506,3,0,W,506,-127,666,606,4
17,32726,61534,143,191,4417,66285,616,2,0,W,616,498,2,0,W,498,-118,573,606,4
18,60655,61439,1080,12,6195,68726,588,3.5,8,D,553,457,3,0,W,457,-96,638,578,4
19,48460,61282,1573,60,14,62929,497,3,8,D,462,401,2,0,W,401,-61,418,449,4
20,27769,60486,3828,2,19685,84001,453,2.5,0,W,453,399,2,0,W,399,-54,516,502,4
21,96340,59731,176,53,2979,62939,369,2,3,W,365,332,3,8,D,297,-68,432,493,4
22,15545,58086,125,462,167,58840,550,4,7,D,527,437,3,0,W,437,-90,NA,NA,4
23,51183,57555,5,19,342,57921,469,3.5,6,D,454,392,3,0,W,392,-62,NA,NA,4
24,34849,57464,12874,16,2230,72584,512,2,0,W,512,474,1,0,W,474,-38,583,570,4
25,562,56579,5184,6815,633,69211,514,4,5,D,504,516,5,9,D,465,-39,510,408,4
26,28235,56222,2491,20,10391,69124,393,2,4,W,387,387,1,7,D,364,-23,459,488,4
27,72065,56158,5,53,860,57076,459,2,3,W,455,433,2,8,D,398,-57,468,431,4
28,50248,56130,7,26,2132,58295,351,2,0,W,351,359,3,0,D,359,8,394,441,4
29,1662,53254,1231,28,2243,56756,487,4,7,D,464,357,1,0,W,357,-107,NA,NA,4
30,61490,52853,214,22,4560,57649,473,3,6,D,458,393,3,0,W,393,-65,547,459,4
31,66234,51453,225,87,39,51804,462,2.5,0,W,462,399,2,0,W,399,-63,447,484,4
32,48062,49141,464,68,7566,57239,394,2,2.5,W,391,349,3,7,D,326,-66,429,367,4
33,77241,48565,18966,3719,1285,72535,491,3.5,5,D,481,409,3,0,W,409,-72,440,412,4
34,77519,48532,63,10,138,48743,504,2,0,W,504,466,3,3,D,462,-42,562,516,4
35,52166,47161,172,116,195,47644,452,4,6,D,437,368,4,0,W,368,-69,510,463,4
36,66156,46544,686,76,3717,51023,452,3,8,D,417,372,2,0,W,372,-45,507,460,4
37,85213,46206,230,11,40,46487,460,3,3,D,456,434,3,8,D,399,-57,542,384,4
38,79587,45712,5175,23,3522,54432,486,3.5,7,D,463,370,2,0,W,370,-93,494,434,4
39,45059,45434,207,7,586,46234,434,2,0,W,434,416,3,3,D,412,-22,421,505,4
40,34571,44865,95,7,4347,49314,404,3.5,7,D,381,320,2,0,W,320,-61,337,284,4
41,55222,44202,24,13,984,45223,414,3,3,D,410,419,3,7,D,396,-15,422,432,4
42,17872,43154,13403,7187,670,64414,446,4,4,D,440,401,4,8,D,366,-74,NA,NA,4
43,77484,42111,16276,1148,1243,60778,566,3.5,9,D,515,429,3,0,W,429,-86,NA,NA,4
44,52374,40285,492,111,1282,42170,564,4,6,D,549,486,4,2,W,484,-65,508,462,4
45,33008,39866,73,137,2868,42944,436,4,7,D,413,343,2,0,W,343,-70,503,439,4
46,50122,38715,7551,10,386,46662,402,2,0,W,402,373,2,0,D,373,-29,NA,NA,4
47,50212,37217,471,8,871,38567,432,1.5,0,W,432,271,1,3,D,267,-165,368,366,4
48,40935,36885,853,45,22,37805,476,4,7,D,453,379,3,0,W,379,-74,526,456,4
49,49555,36520,347,1,1976,38844,458,1.5,0,W,458,435,2,2,D,433,-25,527,548,4
50,53257,36151,2551,52,17361,56115,506,4,3.5,D,501,497,5,8,D,462,-39,NA,NA,4
51,54844,33969,2,16,249,34236,492,2,0,W,492,441,3,3,D,437,-55,465,484,4
52,34490,32462,192,34,614,33302,360,2,0,W,360,343,2,1,D,342,-18,416,451,4
53,61910,31859,226,11,32,32128,454,3.5,9,D,403,334,3,0,W,334,-69,418,327,4
54,29264,31608,1195,28,20,32851,390,1.5,0,W,390,362,2,2,D,360,-30,373,353,4
55,90945,29876,6921,1,39041,75839,454,3,8,D,419,346,1,0,W,346,-73,NA,NA,4
